aug 9/10:33:12.246 DEBUG2 : 		

StartSession()

aug 9/10:33:12.246 INFO   : Debug Log(info): Loading the I-jet driver
aug 9/10:33:12.605 INFO   : Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

aug 9/10:33:12.606 INFO   : Debug Log(info): Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

aug 9/10:33:12.606 INFO   : Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

aug 9/10:33:12.607 INFO   : Debug Log(info): Debug resources: 6 instruction comparators, 4 data watchpoints.

aug 9/10:33:12.607 INFO   : Debug resources: 6 instruction comparators, 4 data watchpoints.

aug 9/10:33:12.612 DEBUG2 : 		  ConnectToHardware(), powering up the board: Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
aug 9/10:33:12.612 INFO   : Debug Log(minor): CPU status OK
aug 9/10:33:12.612 DEBUG2 : 		<- AcquireA2DInterface()
aug 9/10:33:12.612 DEBUG2 : 		-> AcquireEmuVectInterface()
aug 9/10:33:12.612 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuVect') (core 0)
aug 9/10:33:12.612 DEBUG2 : 		<- AcquireEmuVectInterface()
aug 9/10:33:12.612 DEBUG2 : 		-> AcquireEmuWptInterface()
aug 9/10:33:12.612 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuWpt')
aug 9/10:33:12.612 DEBUG2 : 		<- AcquireEmuWptInterface()
aug 9/10:33:12.612 DEBUG2 : 		-> AcquirePcSamplerInterface()
aug 9/10:33:12.612 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigPcSampler')
aug 9/10:33:12.613 DEBUG2 : 		<- AcquirePcSamplerInterface()
aug 9/10:33:12.613 DEBUG2 : 		<- ConnectToHardware()
aug 9/10:33:12.613 DEBUG2 : 		<Call to _ExecDevicePreReset: macro undefined
aug 9/10:33:12.613 DEBUG2 : 		<Call to execUserPreReset: macro undefined
aug 9/10:33:12.613 DEBUG2 : 		->   LowLevelReset(script, delay 200)
aug 9/10:33:12.613 INFO   : Debug Log(info): LowLevelReset(script, delay 200)
aug 9/10:33:12.613 INFO   : Debug Log(info): Calling reset script: ConnectUnderReset
aug 9/10:33:12.613 DEBUG2 : 		>Calling ConnectUnderReset
aug 9/10:33:12.613 DEBUG2 : 		ISigCmdInterpreter::Execute('emu jtagheader=reset:0')
aug 9/10:33:12.613 DEBUG2 : 		ISigCmdInterpreter::Execute('j.pause 50')
aug 9/10:33:12.669 DEBUG2 : 		ISigCmdInterpreter::Execute('j.i /force')
aug 9/10:33:12.670 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xE000EDF0 0xA05F0001 0')
aug 9/10:33:12.672 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xE000EDFC 0')
aug 9/10:33:12.672 DEBUG2 : 		ISigCmdInterpreter::Execute('emu jtagheader=reset:1')
aug 9/10:33:12.673 DEBUG2 : 		ISigCmdInterpreter::Execute('emu jtagheader=reset:r')
aug 9/10:33:12.673 DEBUG2 : 		ISigCmdInterpreter::Execute('j.pause 10')
aug 9/10:33:12.683 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
aug 9/10:33:13.091 INFO   : Debug Log(info): Notification to init-after-hw-reset hookup.

aug 9/10:33:13.091 INFO   : Notification to init-after-hw-reset hookup.

aug 9/10:33:13.091 DEBUG2 : 		<Call to _ExecDeviceProbeReset: macro undefined
aug 9/10:33:13.091 DEBUG2 : 		<Call to execUserProbeReset: macro undefined
aug 9/10:33:13.091 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
aug 9/10:33:13.091 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
aug 9/10:33:13.092 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe0042008 0x00')
aug 9/10:33:13.093 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe0042004 0x00')
aug 9/10:33:13.093 DEBUG2 : 		<Call to _ExecDeviceCoreConnect completed successfully
aug 9/10:33:13.093 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
aug 9/10:33:13.112 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

aug 9/10:33:13.112 INFO   : Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

aug 9/10:33:13.112 INFO   : Debug Log(info): Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

aug 9/10:33:13.112 INFO   : Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

aug 9/10:33:13.113 INFO   : Debug Log(info): Debug resources: 6 instruction comparators, 4 data watchpoints.

aug 9/10:33:13.113 INFO   : Debug resources: 6 instruction comparators, 4 data watchpoints.

aug 9/10:33:13.113 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
aug 9/10:33:13.329 DEBUG2 : 		<Call to ConnectUnderReset completed successfully
aug 9/10:33:13.330 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0xb873e6ac
aug 9/10:33:13.330 DEBUG2 : 		<-   LowLevelReset(script, delay 200)
aug 9/10:33:13.330 DEBUG2 : 		->   StartSession(): WaitForCpuResetToComplete(core 0)
aug 9/10:33:13.330 DEBUG2 : 		  StartSession(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
aug 9/10:33:13.330 DEBUG2 : 		<-   StartSession(): WaitForCpuResetToComplete(core 0)
aug 9/10:33:13.330 DEBUG2 : 		StartSession() checking powerCore 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
aug 9/10:33:13.330 DEBUG2 : 		Core 0: IceInfo(0, ...)
aug 9/10:33:13.330 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000ed00, 4 bytes [by 4] = [ 41 c2 0f 41 ])
aug 9/10:33:13.330 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff000, 4 bytes [by 4] = [ 03 f0 f0 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff004, 4 bytes [by 4] = [ 03 20 f0 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff008, 4 bytes [by 4] = [ 03 30 f0 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff00c, 4 bytes [by 4] = [ 03 10 f0 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff010, 4 bytes [by 4] = [ 03 10 f4 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff014, 4 bytes [by 4] = [ 03 20 f4 ff ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ff018, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.331 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffd0, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffe0, 4 bytes [by 4] = [ 11 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffe4, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.332 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffe8, 4 bytes [by 4] = [ 0a 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00fffec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ffff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ffff4, 4 bytes [by 4] = [ 10 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ffff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe00ffffc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efd0, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.333 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efe0, 4 bytes [by 4] = [ 0c 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efe4, 4 bytes [by 4] = [ b0 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efe8, 4 bytes [by 4] = [ 0b 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000efec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000eff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000eff4, 4 bytes [by 4] = [ e0 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000eff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.334 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000effc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fd0, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fe0, 4 bytes [by 4] = [ 02 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fe4, 4 bytes [by 4] = [ b0 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fe8, 4 bytes [by 4] = [ 3b 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001fec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.335 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001ff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001ff4, 4 bytes [by 4] = [ e0 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001ff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0001ffc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fd0, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fe0, 4 bytes [by 4] = [ 03 00 00 00 ])
aug 9/10:33:13.336 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fe4, 4 bytes [by 4] = [ b0 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fe8, 4 bytes [by 4] = [ 2b 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002fec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002ff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002ff4, 4 bytes [by 4] = [ e0 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002ff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0002ffc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fd0, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.337 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fe0, 4 bytes [by 4] = [ 01 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fe4, 4 bytes [by 4] = [ b0 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fe8, 4 bytes [by 4] = [ 3b 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000fec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000ff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000ff4, 4 bytes [by 4] = [ e0 00 00 00 ])
aug 9/10:33:13.338 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000ff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0000ffc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fd0, 4 bytes [by 4] = [ 04 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fd4, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fd8, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fdc, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fe0, 4 bytes [by 4] = [ a1 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fe4, 4 bytes [by 4] = [ b9 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fe8, 4 bytes [by 4] = [ 0b 00 00 00 ])
aug 9/10:33:13.339 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040fec, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:13.340 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040ff0, 4 bytes [by 4] = [ 0d 00 00 00 ])
aug 9/10:33:13.340 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040ff4, 4 bytes [by 4] = [ 90 00 00 00 ])
aug 9/10:33:13.340 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040ff8, 4 bytes [by 4] = [ 05 00 00 00 ])
aug 9/10:33:13.340 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0040ffc, 4 bytes [by 4] = [ b1 00 00 00 ])
aug 9/10:33:13.340 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe0041fd0, 4 bytes [by 4] = [ 04 00 00 00 ])
